x1,y1,z1,x2,y2,z2,x3,y3,z3
"-1.400177,-0.118896484,9.975479","2.5994263,2.0956573,4.5724792","5.598831,-2.3537903,7.8745728"
"-1.4420471,-0.104537964,9.935989","-4.930786,16.148712,17.625336","1.6470947,2.1937714,8.725235"
"-1.4193115,-0.15478516,9.93959","-9.844437,4.062561,1.4223328","2.6963348,3.1377258,8.557724"
"-1.4300842,-0.07463074,9.952744","-9.649429,-0.4096222,-0.12940979","3.7958374,3.4344482,8.830505"
"-1.4025574,-0.13206482,9.941986","-20.200577,9.411713,5.3501587","1.8971405,3.109024,8.43689"
"-1.3726501,-0.118896484,10.0269165","-10.053818,13.430466,16.76033","2.3577576,3.0001526,8.3615265"
"-1.4145355,-0.16674805,9.934799","-0.011138916,6.050995,6.3371887","2.5180817,3.026474,8.471588"
"-1.4396515,-0.12727356,9.925232","4.500534,3.9895782,6.370697","2.5850677,3.2214813,8.584045"
"-1.4420471,-0.16555786,9.921646","-8.84903,10.649994,14.623535","2.5910645,2.8565826,8.843674"
"-1.4073486,-0.11531067,9.987442","-10.632874,8.027466,3.8319092","3.7479858,0.91360474,9.005188"
"-1.3965759,-0.10932922,9.968292","-8.260391,0.32377625,0.017745972","3.1557617,-1.5067291,8.1940155"
"-1.4145355,-0.118896484,9.968292","-10.915237,6.659973,0.9629059","4.829544,-2.12648,7.5814514"
"-1.4157257,-0.09017944,9.962311","-4.626892,10.614105,14.185654","2.372116,-3.9151154,7.2309113"
"-1.4264984,-0.13923645,9.912064","4.110504,2.3493042,3.658432","1.8468933,-4.0347595,7.5168457"
"-1.4085388,-0.09736633,9.993423","2.6939545,2.8769073,1.3481598","3.2670288,-3.3348541,8.089935"
"-1.425293,-0.20265198,9.913269","-7.025696,6.4481964,17.861023","2.3613434,-3.3707428,7.6484528"
"-1.4264984,-0.11051941,9.93959","-5.371063,0.6551819,7.172287","3.0803833,-2.3202972,7.715454"
"-1.400177,-0.118896484,9.957535","-3.8875122,3.0085144,-4.9653015","2.1902618,-1.9254761,7.7537384"
"-1.5317688,-0.15000916,9.920441","-5.5780334,2.3014374,22.999619","6.1132965,1.2246704,7.726227"
"-1.3929901,-0.12608337,10.037689","-4.157898,3.9632568,7.3505554","1.8325348,2.6675415,8.653442"
"-1.3977814,-0.12966919,9.975479","3.1019287,2.5526886,7.086151","3.982483,4.596161,9.082962"
"-1.4228973,-0.133255,9.967102","-1.8404541,3.4655457,25.20221","2.7932434,3.6282654,8.29332"
"-6.0757446,6.9124146,5.072586","-4.5311737,4.440628,10.657425","4.50531,1.375412,7.9655"
"-5.640259,6.919586,5.43869","-3.9078522,4.2288666,6.6027985","4.065033,1.2545776,9.203796"
"-5.649826,6.9255676,5.3860474","-5.0767365,5.5353394,3.725418","4.159546,2.0525818,7.189041"
"-5.6761475,7.045212,5.072586","-2.5331726,7.8444214,6.802597","4.242111,2.5347443,5.7162476"
"-5.7778473,6.9578705,5.2843475","-6.5100403,6.695862,7.356537","4.694351,2.2679443,6.7427673"
"-5.6390533,6.967453,5.096512","-4.794388,1.3670502,2.3280182","4.7733154,1.9233704,7.67717"
"-5.266968,6.536743,5.389633","-8.783218,1.9568787,-0.4273224","4.5507813,1.6817017,8.337585"
"-5.9812317,7.1959534,5.104889","-23.343552,19.252197,-1.2947235","4.717087,1.6290588,9.346161"
"-5.5816345,6.8920746,5.3657074","-8.773651,14.077713,3.4729767","4.4789886,1.7164001,11.045074"
"-5.5565033,6.7927704,5.2879333","1.911499,5.269745,-1.9862366","3.921463,2.246399,10.633499"
"-5.5457306,6.919586,5.2831573","5.627548,-1.4181976,1.22612","2.918869,1.8360443,10.058029"
"-5.8376617,6.960266,5.289139","-10.232086,20.829071,19.601807","3.3651428,4.8689423,2.1988068"
"-5.612732,6.8669434,5.3142548","-7.872757,5.997162,5.4733887","2.8638458,6.2579803,2.8305054"
"-5.793396,6.7197876,5.7318115","-4.8003693,2.8493958,-0.49790955","2.2787933,6.877716,3.4741821"
